,agenda_name,agenda_id,agenda_url
72,지방세징수법 일부개정법률안,2205363,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_F2M4X1W1S0Y7W1T6J4M9O0Z6S3F6M2
73,지방세기본법 일부개정법률안,2205364,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_E2P4F1S1Q0E7L1B6O5Y2J1N5G0U5X3
74,인공지능 발전과 신뢰 기반 조성 등에 관한 기본법안(대안),2206772,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2V4H1W1T2K5M1O6E4Q9T0V7Q9S0U0
75,디지털포용법안(대안),2206761,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2K4A1L1L2Z5P1B7I0A4R2Q3E3Y4V4
76,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2204517,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2W4T0R9A2Z5Y2X2F1E4B5X8W5V3U9
77,전기통신사업법 일부개정법률안(대안),2206775,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2H4M1M1J2J5C1D7E0L0Q5J3M3S3O8
78,이동통신단말장치 유통구조 개선에 관한 법률 폐지법률안,2200097,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2E4S0T5R3Q1P1X0Y3W5V0U5B0A2B5
79,방송법 일부개정법률안,2201050,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_W2J4Y0S6F2Y7K1L5B3A6L4Z8W8V9W6
80,원자력안전법 일부개정법률안(대안),2206769,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2S4Q1U2M0A2J1I1S3N4H3B0Z5M9U8
81,우주개발 진흥법 일부개정법률안(대안),2206765,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2L4B1A2B0P2P1Q1F2K6E5G2E6O0K2
82,피한정후견인 결격조항 정비를 위한 과학기술정보방송통신위원회 소관 2개 법률 일부개정을 위한 법률안,2202909,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2R4Q0Q8P1P2O1O0K4K0I1H5I1G8G1
83,원자력시설 등의 방호 및 방사능 방재 대책법 일부개정법률안,2204409,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2X4Y0W9V2D6C1C3B0Z7H1A9B0J3I3
84,연구개발특구의 육성에 관한 특별법 일부개정법률안,2204420,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2B4B0A9A0Z9Z1H5G0G0E0F7D9E8M0
85,학생맞춤통합지원법안(대안),2206629,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2T4Q1D1X2J7W1N9W5K0N2K0F8Z1J8
86,학교폭력예방 및 대책에 관한 법률 일부개정법률안(대안),2206631,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2M4F1W1H2E7P1D9L4V2Y3N2U2B8H2
87,대안교육기관에 관한 법률 일부개정법률안(대안),2206627,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2X4L1A1M2D7V1C9P3U5H5J5E4Z2Q5
88,고등교육법 일부개정법률안(대안),2204317,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2B4E0C9A0X3Y0T9J5Q0U3J4B5K0K1
89,학교안전사고 예방 및 보상에 관한 법률 일부개정법률안,2205022,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2Q4O0M8N0L7M1U7U2S0T0S5Q6Q2Y8
90,초·중등교육법 일부개정법률안(대안),2205967,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2C4Z1D1G0G5K1N5U1T6L1S4Y3R7Z6
91,학교복합시설 설치 및 운영·관리에 관한 법률 일부개정법률안,2202956,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2P4N0L8M0S9S1Q8R3Q5X4Y1W5X3V2
92,폐교재산의 활용촉진을 위한 특별법 일부개정법률안,2203200,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2W4F0D6C2D7C1K6J4H9G4C7D1B1A5
93,사립학교법 일부개정법률안,2205212,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2C4B1J1I0H1F1N7M0G2F5E5D8L9K4
